Country,Target Year,2025 Import Value,Model 1 Predicted 2026 Import Value,Model 1 Predicted Growth (%),Policy Direction,Risk Level,Opportunity Category,Prediction Explanation
Afghanistan,2026,27543.0,14181.406441212397,-48.51175819187308,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 48.5% in 2026, while the active policy environment is neutral."
Albania,2026,9664.0,6763.121757550547,-30.017365919385895,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 30.0% in 2026, while the active policy environment is neutral."
Algeria,2026,46970.0,50898.82998936405,8.364551818956878,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 8.4% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Andorra,2026,973.0,1115.921796252822,14.688776593301345,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 14.7% in 2026, while the active policy environment is neutral."
Angola,2026,70571.0,28425.436103115113,-59.720797348606204,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 59.7% in 2026, while the active policy environment is neutral."
Antigua and Barbuda,2026,1136.0,541.4052744360561,-52.34108499682605,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 52.3% in 2026, while the active policy environment is neutral."
Argentina,2026,112472.0,164880.51387922134,46.59694313182066,Positive,Low,High opportunity,"Import demand is expected to grow by approximately 46.6% in 2026, while the active policy environment is predominantly supportive."
Armenia,2026,3657.0,3557.8243980931934,-2.7119387997486033,Positive,Low,Potential future opportunity,"Import demand is expected to decline by approximately 2.7% in 2026, although the active policy environment remains relatively supportive."
Aruba,2026,752.0,724.8478950347987,-3.6106522560108045,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 3.6% in 2026, while the active policy environment is neutral."
Australia,2026,4783142.0,3345684.432516424,-30.052579820619496,Positive,Low,Potential future opportunity,"Import demand is expected to decline by approximately 30.1% in 2026, although the active policy environment remains relatively supportive."
Austria,2026,1056090.0,1779909.8023497527,68.53770060787932,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 68.5% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Azerbaijan,2026,13753.0,14345.796616115364,4.3103076864347,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 4.3% in 2026, while the active policy environment is neutral."
Bahamas,2026,4976.0,6535.214437340819,31.334695284180448,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 31.3% in 2026, while the active policy environment is neutral."
Bahrain,2026,3279.0,6419.221747222308,95.767665362071,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 95.8% in 2026, while the active policy environment is neutral."
Bangladesh,2026,90969.0,132513.68063383442,45.6690527914283,Positive,Low,High opportunity,"Import demand is expected to grow by approximately 45.7% in 2026, while the active policy environment is predominantly supportive."
Barbados,2026,1779.0,2558.468323780662,43.814970420498156,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 43.8% in 2026, while the active policy environment is neutral."
Belarus,2026,68489.0,55804.82747386396,-18.520014201019197,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 18.5% in 2026, while the active policy environment is neutral."
Belgium,2026,1817917.0,2622756.38985736,44.272614748492934,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 44.3% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Benin,2026,2468.0,4547.087547103922,84.2417968842756,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 84.2% in 2026, while the active policy environment is neutral."
Bermuda,2026,740.0,1093.0326067050885,47.707109014201144,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 47.7% in 2026, while the active policy environment is neutral."
Bhutan,2026,1219.0,966.8921914022295,-20.681526546166573,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 20.7% in 2026, while the active policy environment is neutral."
"Bolivia, Plurinational State of",2026,9231.0,13270.341747464565,43.758441636491874,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 43.8% in 2026, while the active policy environment is neutral."
"Bonaire, Sint Eustatius and Saba",2026,349.0,535.8027625759847,53.525146869909655,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 53.5% in 2026, while the active policy environment is neutral."
Bosnia and Herzegovina,2026,5254.0,5850.42548687246,11.351836445992781,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 11.4% in 2026, while the active policy environment is neutral."
Botswana,2026,4982.0,8200.330886839347,64.59917476594434,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 64.6% in 2026, while the active policy environment is neutral."
Brazil,2026,609836.0,888911.111499452,45.76232159128881,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 45.8% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
British Virgin Islands,2026,651.0,894.8053706934408,37.450901796227456,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 37.5% in 2026, while the active policy environment is neutral."
Brunei Darussalam,2026,2156.0,4211.706557663156,95.34817057806846,Positive,Low,High opportunity,"Import demand is expected to grow by approximately 95.3% in 2026, while the active policy environment is predominantly supportive."
Bulgaria,2026,917827.0,1037604.3849406749,13.050104751840475,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 13.1% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Burkina Faso,2026,5371.0,4077.744938955132,-24.07847814270839,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 24.1% in 2026, while the active policy environment is neutral."
Burundi,2026,4949.0,3222.084372082637,-34.894233742520974,Negative,High,High risk,"Import demand is expected to decline by approximately 34.9% in 2026, while the active policy environment is also predominantly restrictive."
Cabo Verde,2026,8323.0,3432.2650480280354,-58.7616839117141,Positive,Low,Potential future opportunity,"Import demand is expected to decline by approximately 58.8% in 2026, although the active policy environment remains relatively supportive."
Cambodia,2026,67227.0,61436.41345097875,-8.613483494758434,Positive,Low,Potential future opportunity,"Import demand is expected to decline by approximately 8.6% in 2026, although the active policy environment remains relatively supportive."
Cameroon,2026,22699.0,19334.117793168916,-14.823922669858069,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 14.8% in 2026, while the active policy environment is neutral."
Canada,2026,1548406.0,2147041.3646691125,38.66139531034576,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 38.7% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Cayman Islands,2026,876.0,490.79967586021087,-43.97263974198506,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 44.0% in 2026, while the active policy environment is neutral."
Central African Republic,2026,1420.0,2485.8262178737305,75.05818435730495,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 75.1% in 2026, while the active policy environment is neutral."
Chad,2026,26445.0,26687.64422062654,0.9175429027284521,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 0.9% in 2026, while the active policy environment is neutral."
Chile,2026,250560.0,261163.86732831594,4.232067101020087,Positive,Low,High opportunity,"Import demand is expected to grow by approximately 4.2% in 2026, while the active policy environment is predominantly supportive."
China,2026,2325993.0,2508288.7335260613,7.837329412687888,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 7.8% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
